vesselName,imoNumber,flag,vesselType,grossTonnage,mmsiNumber,yearBuilt
TAN BINH 257,9322750,PA,BULK CARRIER,16960,354738000,2004
DRAGAO DO MAR,9453822,BR,TANKER,81429,710016250,2013
MARIGOULA,9617662,MH,BULK CARRIER,32846,538005001,2013
ORKIM GAS SUCCESS,9715969,MY,LPG,3122,533180188,2015
YTC HOPPER 7,7618818,MN,BARGE,774,533170545,1976
MERCURY I,9224453,LR,TANKER,81085,636011492,2002
STAR MAJESTY,9355525,NO,GENERAL CARGO,30488,257365000,2009
GLORY HONOR,9847047,SG,GENERAL CARGO,7318,563081800,2018
HAI JIN,9617674,SG,BULK CARRIER,32846,566831000,2011
HENRIQUE DIAS,9453834,BR,TANKER,81429,710020930,2014
BRITOIL 41,9257230,SG,TUG BOAT,2610,564959000,2001
AVATAR,8700175,SL,TANKER,2966,667945000,1990
HOKUETSU USHAKA,9355537,VU,BULK CARRIER,49186,576327000,2008
XINGHUA,9060625,CN,CHEMICAL TANKER,2031,572580210,1993
GLORY VALOR,9847059,SG,GENERAL CARGO,7318,563097100,2019
SHENG MAY,9847061,LR,BULK CARRIER,94528,636018486,2019
ANDRE REBOUCAS,9453846,BR,TANKER,81429,710023040,2015
SPARROW,9322774,LR,BULK CARRIER,30002,356908000,0
MELODY FAIR,9748760,LR,BULK CARRIER,34808,636017637,2017
SOUTHERN NARWHAL,9715995,PA,CHEMICAL TANKER,9999,374146000,2015
COSCO PACIFIC,9355551,HK,CONTAINER SHIP,115776,477107200,2008
GOLDEN CROWN,9552159,MH,BULK CARRIER,90119,538003760,2009
HONG MAY,9847073,LR,BULK CARRIER,94528,636018487,2019
MARCILIO DIAS,9453858,BR,TANKER,81429,710024830,2014
CHEM ARGON,9716004,LR,TANKER,11918,636019198,2016
JOSE DO PATROCINIO,9453860,BR,TANKER,81429,710025780,2015
YM CYPRESS,9224489,LR,CONTAINER SHIP,64254,636012707,2001
OCEAN RAIDER,9060651,SG,FERRY BOAT,283,563751000,1992
COSCO KAOHSIUNG,9355563,HK,CONTAINER SHIP,115776,477136800,2008
KSL SEATTLE,9683245,HK,BULK CARRIER,94528,477300600,2013
INTER MARINE,8110382,TH,TANKER,1348,567005600,1981
YM GREEN,9224491,LR,CONTAINER SHIP,64254,636011275,2001
INDIGO RAY,9716016,LR,CHEMICAL TANKER,11918,235115483,2016
MACHADO DE ASSIS,9453872,BR,TANKER,81429,710029870,2015
MOGRA,9191723,IN,TANKER,78845,419001173,2000
LNG BORNO,9322803,BM,LNG,97874,310543000,2007
ONE COSMOS,9388340,PA,CONTAINER SHIP,88089,370181000,2007
SHANDONG FU REN,9748784,HK,BULK CARRIER,44120,477202400,2015
COSCO TAICANG,9355575,HK,CONTAINER SHIP,115933,477189300,2008
KSL SAPPORO,9683257,HK,BULK CARRIER,94742,477271100,2014
WAN HAI 611,9224506,SG,CONTAINER SHIP,68687,563313000,2001
MILTON SANTOS,9453884,BR,TANKER,81429,710032130,2017
BBC JADE,9421116,AG,GENERAL CARGO,8999,305097000,2006
BRITOIL 50,9257278,01,TUG BOAT,777,564962000,2000
LNG OGUN,9322815,BM,LNG,97874,310542000,2007
ONE CONTINUITY,9388352,PA,CONTAINER SHIP,88089,370407000,2008
SHANDONG FU YI,9748801,HK,BULK CARRIER,44120,477318100,2015
GREENERY SEA,9650494,PA,BULK CARRIER,22402,373431000,2012
CL SINGAPORE,9716028,HK,BULK CARRIER,44046,477327600,2014
CL TIANJING,9716030,HK,BULK CARRIER,44046,477327400,2015
KSL SYDNEY,9683269,HK,BULK CARRIER,94528,477694800,2014
KSL SALVADOR,9683271,HK,BULK CARRIER,94528,477067300,2014
WAN HAI 613,9224520,SG,CONTAINER SHIP,68687,563584000,2001
ABDIAS NASCIMENTO,9453896,BR,TANKER,81429,710032990,2015
FRONT SPARTA,9847114,HK,TANKER,82305,563075700,2018
ANTARCTICA,9322827,KY,TANKER,61371,319562000,2006
KOSMOS CITRINE,9650509,SG,PETROLEUM PRODUCT TANKER (>=60C),4557,566480000,2010
SHANDONG FU XIN,9748813,HK,BULK CARRIER,44120,477327700,2015
DAEHO SUNSHINE,9158991,KR,CHEMICAL TANKER,5979,440079000,1996
TAY SON 3,9355599,VN,GENERAL CARGO,8216,574624000,2005
PETROLIMEX 15,9191759,VN,TANKER,13468,574913000,1999
YELLOW SEA,8700242,01,TANKER,49279,477141700,1987
ZHEN HUA 25,8700242,HK,HEAVYLOAD SEMI-SUBMERSIBLE,38255,477141700,1987
GASLOG SINGAPORE,9355604,BM,LNG,97818,310594000,2010
AKINADA BRIDGE,9224532,PA,CONTAINER SHIP,68687,352675000,2001
STB 01,9153941,ID,GENERAL CARGO,678,525900792,1996
SUNNY ATLANTICA,9322839,KY,TANKER,61371,319161000,2006
ZHENHUA 26,8700254,HK,HEAVYLOAD SEMI-SUBMERSIBLE,38255,477177900,1988
ALAW,9159012,PA,GENERAL CARGO,8359,351545000,1996
LILA,9748837,LR,BULK CARRIER,36484,636017649,2017
CARMEN,9290086,PA,TANKER,161127,37138600,2004
GAS EASTERN,9191785,VN,LPG,4490,574003810,1998
ZHEN HUA 28,8700266,HK,HEAVYLOAD SEMI-SUBMERSIBLE,40015,477399500,2009
ISA VICTORY,9060716,ID,COASTER,4929,574220000,1993
SEIYO SAPPHIRE,9159024,PA,GENERAL CARGO,8359,353999000,1997
SOL PROGRESS,9322865,PA,CONTAINER SHIP,10308,351018000,2006
MANA,9748849,LR,BULK CARRIER,36484,636017900,2017
TAI HUA WAN,9814387,CN,TANKER,7414,413527080,2018
GRANDSOAR,9650547,HK,GENERAL CARGO,8576,477978900,2011
SEASPAN VANCOUVER,9290098,HK,CONTAINER SHIP,39941,477014400,2004
CSCL SYDNEY,9290103,HK,CONTAINER SHIP,39941,477020200,2004
AL SALAM,9224568,KM,TANKER,28539,616999265,2001
KIDAN,9519482,LR,TANKER,162330,636017298,2010
VTC PLANET,9060730,VN,BULK CARRIER,13706,574138000,1993
ASIATIC DAWN,9322877,SG,CONTAINER SHIP,10308,563093500,2005
RONG HUA WAN,9814399,CN,TANKER,7414,413527660,2018
PRINCESS NAOMI,9126273,ID,TANKER,20024,525020393,1996
SEASPAN NEW YORK,9290115,HK,CONTAINER SHIP,39941,477014900,2004
KANG HUA WAN,9814404,CN,TANKER,7414,413527910,2018
MARAN TAURUS,9519494,GR,TANKER,162330,241393000,2011
MARIA COSULICH,9355654,SG,PETROLEUM PRODUCT TANKER (>=60C),4969,565006000,2004
SILVER ESTHER,9683336,PA,TANKER,29460,355511000,2014
MTT PENGERANG,9322889,MY,CONTAINER SHIP,10308,533131052,2006
STAR OPHELIA,9486726,MH,BULK CARRIER,95047,538007618,2010
SAAMIS ADVENTURER,9126285,ID,TANKER,20024,525020420,1996
DA NANG GAS,9388429,VN,LPG,4306,574004460,2006
SEASPAN MELBOURNE,9290127,HK,CONTAINER SHIP,39941,477020700,2004
SHENG HUA WAN,9814416,CN,TANKER,7414,413527980,2018
SILVER GERTRUDE,9683348,PA,TANKER,29460,372905000,2014
EAGLE ASIA 01,9519509,SG,PETROLEUM/CHEMICAL TANKER,4111,564174000,2008
SILVER STACIE,9683350,PA,TANKER,29553,357258000,2014
HUGE SW,9519511,PA,GENERAL CARGO,8479,355469000,2008
NAVIOS PHOENIX,9552276,PA,BULK CARRIER,90423,371638000,2009
FAIRMASTER,9650585,NL,GENERAL CARGO,18099,244820422,2015
CSCL BRISBANE,9290139,HK,CONTAINER SHIP,39941,477070800,2005
COBALT SUN,9814428,LR,TANKER,64200,636019387,2019
DANAE,9290141,CY,BULK CARRIER,41059,212586000,2005
ARISTIMO,9126302,BZ,BULK CARRIER,26239,312842000,1996
SILVER GWEN,9683362,PA,TANKER,29553,356307000,2014
GASLOG HOUSTON,9748899,BM,LNG,114240,310772000,2017
BBG NANNING,9847205,HK,BULK CARRIER,44196,477327800,2019
GASLOG HONG KONG,9748904,BM,LNG,114470,310773000,2018
SPITHA,9290153,CY,BULK CARRIER,41059,209514000,2004
SILVER LONDON,9683374,PA,TANKER,29460,370528000,2014
DANUM 171,9159086,MY,CONTAINER SHIP,11810,533170531,1997
GASCHEM AACHEN,9257395,MT,LPG,25299,247094900,2003
DELTA AMAZON,9748916,LR,TANKER,166178,636019059,2015
SILVER HAGUE,9683386,PA,TANKER,29553,371782000,2014
DEVON,9454010,LR,LPG,45812,235081764,2010
GAS BERYL,9454010,HK,LPG,45812,477686900,2009
SHINYO BRILLIANCE,9224635,LR,BULK CARRIER,87363,477261700,2001
SUMMIT PSA 4,9847229,SG,TUG/SUPPLY VESSEL,1005,563067700,2018
AN JU,8110526,MY,SUPPLY VESSEL,863,533158000,1981
SEAGALAXY,9847231,HK,TANKER,63513,477269100,2015
PACIFIC HONOR,9552317,MH,BULK CARRIER,33091,538004431,2011
AENEAS,9650626,PA,BULK CARRIER,41104,372355000,2013
KEDROS,9781700,BS,BULK CARRIER,38238,311000621,2018
PIONEER 9,7651781,ID,COASTER,992,525003517,1995
SILVER ROTTERDAM,9683398,PA,CHEMICAL TANKER,29553,372269000,2015
HOEGH ASIA,9191876,NO,VEHICLE CARRIER,68060,309109000,2000
WOOYANG HERMES,9421257,KR,BULK CARRIER,31091,440379000,2007
HAI PHUONG ASIA,9355721,VN,GENERAL CARGO,1686,574327000,2005
CROWN SAPPHIRE,9159115,BS,REEFER VESSEL,10519,351827000,1997
PACIFIC HERO,9552331,MH,BULK CARRIER,33090,538004676,2012
TAN BINH 99,9290189,PA,GENERAL CARGO,7823,356082000,2003
THANH VAN 16,9748942,VN,TANKER,3173,574002890,2015
NOBLE SW,9290191,PA,GENERAL CARGO,8451,354359000,2003
FABULOUS SW,9519561,PA,GENERAL CARGO,8469,354356000,2009
PERSEAS,9650638,PA,BULK CARRIER,41104,355661000,2012
AQUARANGE,9585106,LR,BULK CARRIER,93733,636018309,2011
CONDOR,9224659,NU,BULK CARRIER,27986,538002238,2001
ASIAN WISDM,9224659,ID,BULK CARRIER,27986,525119108,0
SILVER HOUSTON,9683403,PA,TANKER,29460,373105000,2015
ZEAL,9486805,GA,TANKER,2169,626017000,0
GS FABULOUS,9421269,SG,PETROLEUM/CHEMICAL TANKER,11261,564149000,2008
GS FORWARD,9421271,SG,PETROLEUM/CHEMICAL TANKER,11261,563036000,2008
NS POWER,9322968,LR,TANKER,25467,636012897,2006
SHAGANG VOLITION,9519573,LR,BULK CARRIER,152306,636015588,2012
SILVER LINDA,9683415,PA,TANKER,29460,356899000,2015
MERCURIUS,9224661,PA,BULK CARRIER,27986,538002237,2001
ASTAKOS,9552343,MT,BULK CARRIER,33090,256785000,2012
HONOR PESCADORES,9290206,PA,GENERAL CARGO,8451,351324000,2003
YU JIN ACE,9585120,KR,GENERAL CARGO,11481,440175000,2009
HALIL SAHIN,9224673,TR,BULK CARRIER,27581,271002721,2001
GS FUTURE,9421283,SG,PETROLEUM/CHEMICAL TANKER,11261,564284000,2008
SILVER DUBAI,9683427,PA,TANKER,29327,374369000,2015
EMPOWER,9290220,SG,TANKER,4991,563325000,2002
OOCL HOUSTON,9355757,HK,CONTAINER SHIP,40168,477958300,2007
JOSCO DEZHOU,9683439,HK,BULK CARRIER,34558,477686800,2013
KAVO AETOS,9290232,MH,BULK CARRIER,30054,271000916,2003
OOCL PANAMA,9355769,HK,CONTAINER SHIP,40168,477056600,2008
STENIA COLOSSUS,9552379,SG,BULK CARRIER,33096,564157000,2010
FRONTIER QUEEN,9552381,PA,BULK CARRIER,93288,373448000,2010
FRONTIER JACARANDA,9552393,PA,BULK CARRIER,93288,352553000,2011
OLYMPOS,9224714,PA,BULK CARRIER,40605,355753000,2001
MOVERS,9159177,PA,BULK CARRIER,55300,356482000,1996
MR EUPHRATES,9421324,MH,TANKER,30400,538002866,2008
SHOREKI,9257486,PA,TANKER,1999,351535000,2001
MIN SHENG 1,9617935,HK,BULK CARRIER,45263,477024700,2011
VOX MAXIMA,9454096,NL,DREDGER,29920,246351000,2009
VILLA,9126417,SG,TANKER,1264,563001830,1995
MAJD,9323027,QA,CONTAINER SHIP,38320,466543000,2007
YANG FAN,9159189,PA,BULK CARRIER,36137,416370000,1997
MR ARIES,9421336,MH,TANKER,30400,538002869,2009
PRESTIGIOUS,9257498,MH,TANKER,40037,538007608,2003
SINOCHART BEIJING,9617947,HK,BULK CARRIER,45263,477016800,2011
CAPE AMANDA,9552410,PA,BULK CARRIER,93235,370572000,2010
KEREM,9126429,MT,BULK CARRIER,18675,215143000,1998
RACE,9224738,LR,BULK CARRIER,87495,636019872,2002
TIGER GLORY,9749025,HK,TANKER,15730,477142500,2015
ANTWERP,9224740,LR,BULK CARRIER,87495,636020331,2003
SOUTHERN HARMONY,9552422,PA,BULK CARRIER,93288,373508000,2012
HAFNIA LIBRA,9617959,DK,TANKER,30312,219484000,2012
TAI PING SHAN,9617961,HK,BULK CARRIER,32962,477013300,2010
COSGOLD LAKE,9585194,HK,TANKER,152727,477652200,2009
MSC RACHELE,9290282,PA,CONTAINER SHIP,90745,354712000,2004
SALVAGE ROVER,9257515,VC,TUG BOAT,1879,563149000,2002
AEOLIAN LIGHT,9323053,CY,BULK CARRIER,43151,212684000,2006
DE HONG,9191981,CN,TUG BOAT,3170,412681000,2000
PHUBAI PATTRA 2,9519664,TH,CHEMICAL TANKER,5681,567362000,2008
KASHIMA MARU,9552434,PA,BULK CARRIER,93630,373927000,2013
AL HABIBAH,9290294,DM,TANKER,57226,356538000,2003
METIS LEADER,9650743,PA,VEHICLE CARRIER,59550,373310000,2010
DL DAISY,9519676,PA,LPG,4456,356040000,2011
PRISM,9847360,SG,WATER TANKER,440,563067950,2018
LAVRAKI,9323077,MH,TANKER,11638,538006371,2007
BRYANSTON,9290311,MH,TANKER,58722,538008380,2005
DL LILY,9519688,PA,LPG,4456,353422000,2010
LORY,9224776,KM,BULK CARRIER,86848,477015000,2002
AM GIJON,9454151,PA,BULK CARRIER,92249,371398000,2011
BBG FANGCHENG,9847372,HK,BULK CARRIER,44196,477372100,2015
OCEAN ROAD,9617997,HK,BULK CARRIER,40341,373276000,2011
ZHEN HUA 29,8700498,HK,BULK CARRIER,41580,477622600,1987
REVELATION,9355862,KI,SUPPLY VESSEL,1772,529936000,2006
SAMOS,9486934,BS,TANKER,56326,311040100,2010
KAIMON GALAXY,9552472,MH,CHEMICAL TANKER,16703,538004480,2012
GOLDEN PHOENIX,9224790,PA,BULK CARRIER,39973,374811000,2002
FRONTIER YOUTH,9650779,PA,BULK CARRIER,92752,352623000,2010
SWARNA MALA,9421403,IN,TANKER,29993,419000103,2010
CAPE PELICAN,9650781,LR,BULK CARRIER,93044,636020235,2013
EFROSSINI,9618020,CY,BULK CARRIER,40334,209785000,2011
AWTAD,9519717,SA,TANKER,160493,636017453,2010
KOS,9224805,LR,TANKER,154348,636018668,2001
ARSAN,9421415,SA,TANKER,161969,403538000,2010
IVONNE,9290347,PA,TANKER,161045,356869000,2004
NORD TRUST,9454187,PA,BULK CARRIER,31232,372246000,2009
MTS VANTAGE,9585261,VC,TUG BOAT,221,503036460,2010
MARAN THETIS,9421427,GR,TANKER,161969,241325000,2012
SINOKOR YOKOHAMA,9192052,KR,CONTAINER SHIP,9030,441782000,1999
OTTOMAN NOBILITY,9290359,TR,TANKER,79903,271000773,2004
DARYA LAKSHMI,9454199,HK,BULK CARRIER,31284,477399800,2009
OCEAN HONESTY,9650810,PA,BULK CARRIER,23264,373179000,2013
KEN WAVE,9454204,LR,BULK CARRIER,31759,636014456,2009
SUN VENUS,9159294,PA,CHEMICAL TANKER,4356,351654000,1997
JIN MING,9421439,HK,BULK CARRIER,33919,477963600,2010
ALBATROSS ISLAND,9421439,HK,BULK CARRIER,34028,636017635,2010
MATTERHORN EXPLORER,9847425,SG,LPG,46668,563081100,2018
ORIENTE GLORIA,9650822,PA,BULK CARRIER,34800,373981000,2013
PW BERANI,9683594,SG,TUG BOAT,348,563444000,2013
TOLL JADE,9355915,SG,RORO CARGO,835,564852000,2005
OCEAN GAS,9388687,PA,LPG,47072,370653000,2008
EUROLEADER,9290385,LR,TANKER,81076,636018733,2005
MARITIME LONGEVITY,9650834,PA,BULK CARRIER,34794,353074000,2013
BBC MARMARA,9454228,PT,GENERAL CARGO,5344,255806141,2010
TOLL EMPEROR,9355927,SG,RORO CARGO,835,564855000,2005
MINERAL NEW YORK,9519767,BE,BULK CARRIER,91971,205569000,2000
PW BENAR,9683609,SG,TUG BOAT,348,563442000,2013
DORIC COURAGE,9847451,LR,TANKER,29824,636019104,2019
KRITI VIGOR,9290397,MH,TANKER,81076,538005501,2005
SEAN SPIRIT,9781918,BS,LNG,117162,311000665,2018
YAMAL SPIRIT,9781920,BS,LNG,117162,311000666,2019
FELIXSTOWE BRIDGE,9290402,PA,CONTAINER SHIP,54809,352688000,2005
MINERAL STONEHENGE,9519779,BE,BULK CARRIER,91971,205580000,2010
HG SINGAPORE,9585314,LR,BULK CARRIER,33044,636020216,2010
MISTRAL I,9650860,PA,BULK CARRIER,44980,548864000,2013
GUARDIAN LEADER,9388716,BS,VEHICLE CARRIER,57692,311003400,2008
OOCL ST LAWRENCE,9290414,MT,CONTAINER SHIP,54809,256266000,2005
CIC PRIDE,9224879,PA,BULK CARRIER,87497,351111000,2001
LMZ PLUTO,9585326,MH,BULK CARRIER,33044,538004342,2009
GREAT RESOURCE,9487031,HK,BULK CARRIER,19994,477738100,2008
STAR SUZANNA,9650872,LR,BULK CARRIER,44980,636017989,2013
THUNDERCAT,9388730,MH,TANKER,62863,538009108,2008
NORDIC HARBIN,9585338,LR,BULK CARRIER,33044,636018644,2011
CSL SANTA MARIA,9290426,CY,CONTAINER SHIP,54809,212700000,2005
SOLDOY,9618111,SG,BULK CARRIER,33042,566211000,2011
MAPLE BREEZE,9487043,HK,BULK CARRIER,19994,477851700,2008
THUNDERBOLT,9388742,MH,TANKER,62863,538009111,2008
SEASONG,9290438,MT,TANKER,57162,215811000,2005
NAVIOS MARCO POLO,9454280,PA,BULK CARRIER,42711,356221000,2009
BELLAVIA,9290440,LR,CONTAINER SHIP,53807,636092778,2005
IONIAN SEA FOS,8110796,MT,SUPPLY VESSEL,2070,249597000,1982
VL PIONEER,9683661,PA,TANKER,161367,352489000,2014
HABCO POLARIS,9487055,ID,BULK CARRIER,19994,477982100,2008
OCEAN AVRA,9388754,LR,TANKER,62863,636020380,2008
MEDI CHIBA,9781970,PA,BULK CARRIER,43891,356242000,2016
SHILING,9290452,SG,CONTAINER SHIP,53807,563102800,2004
JMS WIRA,9814741,SG,TUG BOAT,476,563005700,2015
KEY FRONTIER,9454292,PA,BULK CARRIER,42709,356676000,2010
VL BRILLIANT,9683673,PA,TANKER,161367,357503000,2014
CL DAYANG HE,9880283,LR,BULK CARRIER,44403,636019319,2020
OCEAN QUEST,9388766,01,TANKER,62863,563005000,2008
SEAMAX NORWALK,9290464,MH,CONTAINER SHIP,82794,538007063,2005
JMS DUTA,9814753,SG,TUG BOAT,476,563005800,2015
VL PRIME,9683685,PA,TANKER,161770,352761000,2015
SILVER SHADOW,9192167,BS,PASSENGER VESSEL,28258,308628000,1999
CL QINGSHUI HE,9880295,LR,BULK CARRIER,44403,636019320,2020
JIN YUAN LING,9487081,HK,BULK CARRIER,19993,477387400,2008
MALAK,9159402,PW,BULK CARRIER,25047,511100388,1997
OCEAN PEGASUS,9388778,SG,TANKER,62863,563319000,2008
WELLINGTON,9388780,MH,TANKER,62863,538009256,2009
CL DALIAO HE,9880300,LR,BULK CARRIER,44403,636019322,2020
PRO JADE,9257711,PA,TANKER,29188,353534000,2003
VL PROSPERITY,9683697,PA,TANKER,161770,374349000,2015
LA TOUR,9224946,LR,CONTAINER SHIP,26050,636019861,0
SILVER WHISPER,9192179,BS,PASSENGER VESSEL,28258,308322000,2000
ORE SHANTOU,9847542,HK,BULK CARRIER,173762,477591200,2019
OCEAN VELA,9388792,SG,TANKER,62863,564147000,2008
BALTIC BRIDGE,9290488,MH,CONTAINER SHIP,83011,538007404,2005
CPO LARISA ATHENA,9290490,NU,TANKER,23240,538090500,2004
PETROLIMEX 16,9257723,VN,TANKER,29188,574252000,2004
STH SYDNEY,9749245,MH,BULK CARRIER,34321,538006720,2016
GSL MANET,9224958,CY,CONTAINER SHIP,26050,212236000,2001
OTAGO BAY,9782015,HK,BULK CARRIER,31787,477023600,2013
ORE CHONGQING,9847554,HK,BULK CARRIER,173762,477615100,2020
RUBYRED,9159426,LR,BULK CARRIER,26586,636016210,1997
MILLION TRADER,9159426,PH,BULK CARRIER,26586,636016210,1997
JIN WANG LING,9487108,HK,BULK CARRIER,19993,477959300,2008
OCEAN VOYAGER,9388807,SG,TANKER,62863,565679000,2008
STH TOKYO,9749257,MH,BULK CARRIER,34321,538006798,2016
MAXWELL,9782027,SG,BULK CARRIER,43665,563015800,2015
KHADEEJAH JAHAN,9159438,BD,BULK CARRIER,25074,405000134,1997
KST 37,9192208,01,TUG BOAT,246,0,1998
LIAN YI DA 2 HAO,9159440,PA,BULK CARRIER,14786,311000094,1998
LIJMILIYA,9388819,MH,LNG,168189,538003294,2009
AL SAMRIYA,9388821,MH,LNG,168189,538003295,2009
KALLIROE,9454357,LR,CONTAINER SHIP,18321,636014965,2010
STH KURE,9749269,MH,BULK CARRIER,34321,538006864,2016
GOLDEN PIONEER,9421594,MH,TANKER,7002,538007819,2010
FAIRCHEM ALDEBARAN,9552666,LR,CHEMICAL TANKER,11788,636017765,2017
ORE FUZHOU,9847578,HK,BULK CARRIER,173718,477521400,2019
LONGHUNG 1,9519901,PA,TANKER,4377,352321000,2008
BU SAMRA,9388833,MH,LNG,163922,538003301,2008
MSC PAMELA,9290531,PA,CONTAINER SHIP,108930,371228000,2005
NEW LIFE,9650987,CY,BULK CARRIER,16991,212167000,2013
MSC SUSANNA,9290543,PA,CONTAINER SHIP,107849,371466000,2005
LIMNIONAS,9749295,BS,BULK CARRIER,47045,311000622,2017
HAM RONG 08,9585455,VN,GENERAL CARGO,1309,574000830,2010
PACIFIC KESTREL,9782065,CY,SUPPLY VESSEL,816,212603000,2016
IONIC PRIDE,9749300,MH,BULK CARRIER,47034,538007205,2017
KYLA FORTUNE,9225017,LR,BULK CARRIER,86743,636013184,2001
CMA CGM AMERIGO VESPUCCI,9454395,FR,CONTAINER SHIP,154169,228316800,2009
SANTA LINEA,9290555,DE,CONTAINER SHIP,107849,636091324,2005
CMA CGM CORTE REAL,9454400,MT,CONTAINER SHIP,151446,215154000,2009
CALYPSO ISLAND,9749312,PA,BULK CARRIER,47006,374724000,2015
BARENTS SEA,9192258,01,TANKER,57680,563909000,1999
BLUE SUN,9192260,LR,TANKER,57680,636016173,2000
AQUAMAN,9225029,BS,BULK CARRIER,40570,311128000,2001
NORTHERN ENDEAVOUR,8602438,TV,RESEARCH/SURVEY VESSEL,850,572499210,1987
SANTA LORETTA,9290567,DE,CONTAINER SHIP,107849,636091325,2005
EFFIE,9225031,PA,BULK CARRIER,40570,355275000,2001
THRUXTON,9782089,LR,VEHICLE CARRIER,72684,636018347,2018
PUZE,9323338,MH,TANKER,30681,538002700,2006
LYDDEN,9782091,LR,VEHICLE CARRIER,72684,636018494,2018
CMA CGM LAPEROUSE,9454412,FR,CONTAINER SHIP,152991,228345800,2009
ALFRED N,9749324,MH,TANKER,17858,538006805,2016
FOREVER ASSURANCE,9880398,HK,TANKER,29063,477629800,2019
GLOBAL PHENIX,9552719,PA,LPG,5917,355662000,2011
NEW AWARD,9487184,LR,TANKER,61736,636014638,2010
SEA VALARY,9552721,TH,LPG,3420,567593000,2010
CHOLA QUEEN,9257802,PA,TANKER,58166,356472000,2002
TORM RAGNHILD,9290579,01,TANKER,30180,565429000,2004
CMA CGM MAGELLAN,9454424,MT,CONTAINER SHIP,150269,235081888,0
LOUIS P,9749336,MH,CHEMICAL TANKER,17858,538006806,2016
ALAM SAYANG,9651034,PA,BULK CARRIER,34875,353511000,2013
MSC ABIDJAN,9618264,PT,CONTAINER SHIP,95390,353082000,2013
ARK TORI,9487196,SG,TUG/SUPPLY VESSEL,2310,563020000,2006
OCEANIS,9225055,BS,BULK CARRIER,40570,311208000,2001
TMC BALD EAGLE,9880415,PA,UTILITY VESSEL,279,0,2019
BULK CHINA,9290593,MT,BULK CARRIER,88661,215450000,2005
LOUISE AUERBACH,9388895,LR,GENERAL CARGO,9611,636092892,2007
CMA CGM MARCO POLO,9454436,BS,CONTAINER SHIP,176546,311000923,2012
MSC AGRIGENTO,9618276,PA,CONTAINER SHIP,95390,357096000,2013
LINUS P,9749350,MH,CHEMICAL TANKER,17858,538006808,2016
LISA AUERBACH,9388900,LR,GENERAL CARGO,9611,305167000,2008
TMC OSPREY,9880427,PA,UTILITY VESSEL,279,0,2019
LAGRANGE,9487213,MH,BULK CARRIER,31117,538008729,2008
WAVEMASTER 3,9257840,SG,FERRY BOAT,253,563002830,2000
CMA CGM ALEXANDER VON HUMBOLDT,9454448,MT,CONTAINER SHIP,176546,215219000,2013
CMA CGM JULES VERNE,9454450,FR,CONTAINER SHIP,176435,228032900,2012
MSC ALGHERO,9618288,PA,CONTAINER SHIP,95390,351819000,2013
CHAMPION EBONY,9290608,NO,TANKER,27547,258028000,2004
LEANNE AUERBACH,9388912,LR,GENERAL CARGO,9611,305168000,2008
TMC BUTEOS,9880439,PA,UTILITY VESSEL,279,353430000,2019
KIRWAN,9487225,MH,BULK CARRIER,31117,249418000,2008
KIRWAN,9487225,MH,BULK CARRIER,31117,538008669,0
JAG AMISHA,9388924,IN,TANKER,42403,419766000,2009
DIONNE,9814909,PA,CHEMICAL TANKER,7430,354996000,2018
SALACGRIVA,9323390,MH,TANKER,30641,538002778,2008
CAPE GREEN,9651072,PA,BULK CARRIER,107054,351950000,2011
MSC ATHENS,9618305,MT,CONTAINER SHIP,96262,256858000,2012
CCNI ARAUCO,9683843,LR,CONTAINER SHIP,95138,636092897,2015
GISCOURS,9487237,MH,BULK CARRIER,31117,249417000,2009
JAG APARNA,9388936,IN,TANKER,42403,419765000,2009
MTM NEW YORK,9749386,SG,PETROLEUM/CHEMICAL TANKER,21198,564751000,2015
VERUDA,9585546,HR,BULK CARRIER,30092,238297000,2011
PUPLINGE,9782156,PA,BULK CARRIER,43471,351047000,2016
MSC ATHOS,9618317,MT,CONTAINER SHIP,96262,241240000,2012
BANI YAS,9487249,LR,TANKER,42538,636014942,2010
DIYYINAH I,9487251,LR,TANKER,42538,636014943,2011
JAG AABHA,9388948,IN,TANKER,42403,419746000,2008
TORM KANSAS,9290646,DK,TANKER,29242,220565000,2006
TANGO,9454486,JP,TANKER,160317,431057000,2009
NAVIOS DOLPHIN,9782168,SG,BULK CARRIER,43484,563008500,2015
MTM NEW ORLEANS,9749398,SG,PETROLEUM/CHEMICAL TANKER,21198,565884000,2015
CCNI ANGOL,9683867,LR,CONTAINER SHIP,95138,636092896,2015
CHANG AN 1,9520027,PA,CHEMICAL TANKER,7384,370246000,2008
GLOVIS COURAGE,9651101,KR,VEHICLE CARRIER,59060,538005045,2013
YAMILAH III,9487263,LR,TANKER,42538,636014944,2011
WAVEMASTER 5,9257888,SG,FERRY BOAT,253,563002840,2000
TOPAZ EXPRESS,9552800,HK,TANKER,27976,477698500,2009
TSUGARU,9454498,JP,TANKER,160463,431238000,2010
GOLDEN PRINCESS,9192351,GB,PASSENGER VESSEL,108865,235113472,2001
TORM PLATTE,9290660,DK,CHEMICAL TANKER,29242,220561000,2006
KHK VISION,9323429,SG,CRUDE OIL TANKER,158463,565394000,2006
SEAMATE,9585572,MT,BULK CARRIER,91373,249366000,2010
NORD TAURUS,9782182,PA,BULK CARRIER,43471,355378000,2016
GLOVIS CHAMPION,9651113,MH,VEHICLE CARRIER,59060,538005127,2013
